Hunderassen in Wien | Breed of Dogs in Vienna;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;Postal_CODE;Dog Breed;Anzahl;Ref_Date
AT1;AT13;AT113;90100;.;1010;Afghanischer Windhund;1;20211201
AT1;AT13;AT113;90100;.;1010;Akita Inu / Belgischer Schaeferhund;1;20211201
AT1;AT13;AT113;90100;.;1010;American Water Spaniel;1;20211201
AT1;AT13;AT113;90100;.;1010;Amerikanischer Cockerspaniel;2;20211201
AT1;AT13;AT113;90100;.;1010;Amerikanischer Cockerspaniel / Pudel;1;20211201
AT1;AT13;AT113;90100;.;1010;Amerikanischer Pit-Bullterrier;1;20211201
AT1;AT13;AT113;90100;.;1010;Amerikanischer Pit-Bullterrier / Mischling;1;20211201
AT1;AT13;AT113;90100;.;1010;Amerikanischer Staffordshire-Terrier;2;20211201
AT1;AT13;AT113;90100;.;1010;Amerikanischer Staffordshire-Terrier / Mischling;1;20211201
AT1;AT13;AT113;90100;.;1010;Australian Cattle Dog;1;20211201
AT1;AT13;AT113;90100;.;1010;Australian Shepherd Dog;5;20211201
AT1;AT13;AT113;90100;.;1010;Basset Hound / Mischling;1;20211201
AT1;AT13;AT113;90100;.;1010;Beagle;5;20211201
AT1;AT13;AT113;90100;.;1010;Beagle / Mischling;1;20211201
AT1;AT13;AT113;90100;.;1010;Beauceron / Alaskan Malamute;1;20211201
AT1;AT13;AT113;90100;.;1010;Berner Sennenhund;2;20211201
AT1;AT13;AT113;90100;.;1010;Bernhardiner;1;20211201
AT1;AT13;AT113;90100;.;1010;Bichon Frise;2;20211201
AT1;AT13;AT113;90100;.;1010;Biewer Terrier;1;20211201
AT1;AT13;AT113;90100;.;1010;Bolonka Zwetna;3;20211201
AT1;AT13;AT113;90100;.;1010;Border-Collie;4;20211201
AT1;AT13;AT113;90100;.;1010;Border-Collie / Australian Shepherd Dog;1;20211201
AT1;AT13;AT113;90100;.;1010;Border-Collie / Mischling;1;20211201
AT1;AT13;AT113;90100;.;1010;Border-Terrier;1;20211201
AT1;AT13;AT113;90100;.;1010;Border-Terrier / Mischling;1;20211201
AT1;AT13;AT113;90100;.;1010;Border-Terrier / Rauhhaardackel (Zwergdackel);1;20211201
AT1;AT13;AT113;90100;.;1010;Boston Terrier;1;20211201
AT1;AT13;AT113;90100;.;1010;Boxer;1;20211201
AT1;AT13;AT113;90100;.;1010;Bracke / Mischling;2;20211201
AT1;AT13;AT113;90100;.;1010;Bulldog;1;20211201
AT1;AT13;AT113;90100;.;1010;Bullterrier;1;20211201
AT1;AT13;AT113;90100;.;1010;Cane Corso;1;20211201
AT1;AT13;AT113;90100;.;1010;Cao de Agua Portugues;3;20211201
